コード,市区町村名,人数,獲得比率,距離
19210,甲斐市,4388,0.005,106.5
11243,吉川市,4364,0.006,54.2
22220,裾野市,4355,0.008,76.2
08227,筑西市,4338,0.004,98.5
33202,倉敷市,4321,0.001,545.3
14341,中郡大磯町,4307,0.013,35.0
22209,島田市,4266,0.004,152.1
01102,札幌市北区,4230,0.001,866.7
23210,刈谷市,4178,0.003,244.3
12215,旭市,4174,0.006,97.4
08224,守谷市,4151,0.006,63.2
34207,福山市,4101,0.001,582.4
08217,取手市,4032,0.004,64.6
23103,名古屋市北区,4025,0.002,249.3
01103,札幌市東区,3988,0.001,866.5
01107,札幌市西区,3982,0.002,858.4
23220,稲沢市,3958,0.003,262.5
23110,名古屋市中川区,3950,0.002,257.1
23107,名古屋市昭和区,3942,0.004,247.8
10203,桐生市,3937,0.003,115.7
22136,浜松市浜北区,3921,0.004,181.4
01202,函館市,3906,0.001,722.1
26103,京都市左京区,3904,0.002,349.6
01101,札幌市中央区,3885,0.002,857.1
27210,枚方市,3843,0.001,366.8
28203,明石市,3835,0.001,437.1
11212,東松山市,3821,0.004,70.2
19204,都留市,3806,0.010,65.6
14217,南足柄市,3775,0.009,54.1
28214,宝塚市,3768,0.002,398.5
26109,京都市伏見区,3734,0.001,358.4
09213,那須塩原市,3727,0.003,174.1
12230,八街市,3720,0.005,62.5
44201,大分市,3696,0.001,778.9
23101,名古屋市千種区,3675,0.002,245.8
22133,浜松市西区,3673,0.003,200.0
19211,笛吹市,3669,0.005,88.8
13227,羽村市,3666,0.006,46.5
23204,瀬戸市,3618,0.003,230.0
20209,伊那市,3602,0.005,143.0
11238,蓮田市,3595,0.006,61.8
08219,牛久市,3591,0.004,75.5
23115,名古屋市名東区,3589,0.002,241.2
14342,中郡二宮町,3589,0.011,38.8
09204,佐野市,3585,0.003,109.1
02203,八戸市,3580,0.001,582.3
13228,あきる野市,3536,0.004,50.7
01104,札幌市白石区,3521,0.001,860.5
09206,日光市,3503,0.004,156.2
08205,石岡市,3484,0.004,99.9
26204,宇治市,3472,0.002,353.2
22342,駿東郡長泉町,3453,0.008,76.4
11246,白岡市,3447,0.006,64.4
23105,名古屋市中村区,3446,0.002,254.4
27114,大阪市東淀川区,3436,0.002,382.3
19208,南アルプス市,3426,0.005,119.3
40131,福岡市東区,3420,0.001,864.5
23108,名古屋市瑞穂区,3416,0.004,248.3
40134,福岡市南区,3403,0.001,871.6
22135,浜松市北区,3400,0.004,191.6
04103,仙台市若林区,3383,0.002,329.6
10209,藤岡市,3359,0.005,101.4
15107,新潟市西区,3353,0.002,275.2
42201,長崎市,3350,0.001,946.9
01207,帯広市,3327,0.002,869.6
27215,寝屋川市,3327,0.001,373.3
14401,愛甲郡愛川町,3324,0.008,32.6
14366,足柄上郡開成町,3323,0.019,48.7
26104,京都市中京区,3307,0.003,357.3
27211,茨木市,3304,0.001,378.6
43101,熊本市中央区,3281,0.002,871.9
28202,尼崎市,3262,0.001,393.2
22225,伊豆の国市,3220,0.007,76.0
23213,西尾市,3217,0.002,245.8
27118,大阪市城東区,3209,0.002,382.2
09205,鹿沼市,3200,0.003,127.3
02202,弘前市,3198,0.002,578.7
19209,北杜市,3163,0.007,120.8
22216,袋井市,3145,0.004,173.5
20220,安曇野市,3090,0.003,190.3
07202,会津若松市,3081,0.002,225.4
12232,白井市,3047,0.005,55.2
15204,三条市,3042,0.003,237.9
11231,桶川市,3036,0.004,62.7
10208,渋川市,3027,0.004,132.3
30201,和歌山市,3022,0.001,425.3
35203,山口市,2997,0.002,744.0
15102,新潟市東区,2970,0.002,280.1
08208,龍ケ崎市,2969,0.004,75.6
27220,箕面市,2967,0.002,383.6
25202,彦根市,2951,0.003,308.4
24205,桑名市,2934,0.002,273.7
25206,草津市,2929,0.002,340.6
16202,高岡市,2906,0.002,282.8
