コード,市区町村名,人数,獲得比率,距離
21213,各務原市,3829,0.002,201.6
28111,神戸市西区,3826,0.002,374.1
23103,名古屋市北区,3811,0.002,197.3
09204,佐野市,3753,0.002,152.9
23223,大府市,3735,0.004,192.6
11464,北葛飾郡杉戸町,3681,0.006,119.9
11240,幸手市,3641,0.005,123.6
08219,牛久市,3627,0.004,138.0
17210,白山市,3623,0.002,255.9
01105,札幌市豊平区,3589,0.001,899.6
20217,佐久市,3557,0.003,135.1
21206,中津川市,3547,0.005,153.9
21204,多治見市,3544,0.003,180.7
01101,札幌市中央区,3515,0.001,903.6
15107,新潟市西区,3433,0.001,306.2
27114,大阪市東淀川区,3394,0.001,325.8
12237,山武市,3386,0.005,134.1
32202,浜田市,3355,0.003,628.1
09205,鹿沼市,3323,0.003,172.6
28109,神戸市北区,3307,0.001,356.8
27212,八尾市,3238,0.001,320.5
28107,神戸市須磨区,3218,0.002,365.5
07205,白河市,3210,0.003,248.5
18201,福井市,3193,0.001,284.4
04102,仙台市宮城野区,3186,0.001,390.4
04323,柴田郡柴田町,3184,0.006,365.5
10203,桐生市,3177,0.002,152.6
27215,寝屋川市,3142,0.001,316.8
08208,龍ケ崎市,3111,0.003,138.8
08235,つくばみらい市,3092,0.006,130.8
27121,大阪市東住吉区,3089,0.002,328.3
08207,結城市,3072,0.004,147.0
33212,瀬戸内市,3070,0.003,454.1
25203,長浜市,3063,0.002,262.9
23214,蒲郡市,3040,0.004,168.6
03201,盛岡市,3026,0.001,551.0
27127,大阪市北区,2980,0.002,329.4
12225,君津市,2941,0.003,88.2
23209,碧南市,2936,0.003,191.1
15202,長岡市,2901,0.001,264.1
12210,茂原市,2892,0.003,116.7
27141,堺市堺区,2892,0.001,333.8
19212,上野原市,2884,0.012,59.8
43215,天草市,2877,0.003,884.9
23111,名古屋市港区,2856,0.002,204.8
08228,坂東市,2841,0.004,129.5
22223,御前崎市,2812,0.008,100.6
40131,福岡市東区,2812,0.001,807.2
27120,大阪市住吉区,2793,0.001,330.6
23205,半田市,2787,0.002,198.1
23231,田原市,2784,0.004,174.4
26101,京都市北区,2773,0.002,306.9
23229,豊明市,2761,0.003,187.9
14361,足柄上郡中井町,2736,0.026,28.7
09209,真岡市,2699,0.002,168.7
28229,たつの市,2686,0.002,413.8
21205,関市,2679,0.003,194.9
11207,秩父市,2676,0.004,101.2
34205,尾道市,2663,0.002,543.7
27118,大阪市城東区,2632,0.001,325.2
28219,三田市,2625,0.002,353.5
26110,京都市山科区,2621,0.002,296.7
25206,草津市,2620,0.002,286.6
25202,彦根市,2565,0.002,257.5
23225,知立市,2550,0.003,185.1
22461,周智郡森町,2544,0.013,106.3
27224,摂津市,2529,0.002,320.6
27142,堺市中区,2511,0.001,333.0
27124,大阪市鶴見区,2506,0.002,322.3
01108,札幌市厚別区,2492,0.001,907.5
27220,箕面市,2484,0.002,328.2
40133,福岡市中央区,2477,0.001,815.3
26106,京都市下京区,2467,0.003,303.4
27106,大阪市西区,2455,0.002,331.2
27216,河内長野市,2439,0.001,328.2
30205,御坊市,2436,0.005,382.5
11242,日高市,2416,0.004,91.4
09216,下野市,2376,0.003,161.8
23236,みよし市,2354,0.003,179.9
27230,交野市,2341,0.002,311.6
20202,松本市,2338,0.001,164.1
23204,瀬戸市,2334,0.002,178.4
32201,松江市,2327,0.001,548.0
07212,南相馬市,2311,0.004,325.8
23445,知多郡南知多町,2299,0.007,203.2
15102,新潟市東区,2295,0.001,313.8
19208,南アルプス市,2290,0.003,90.0
21214,可児市,2284,0.002,185.9
04104,仙台市太白区,2264,0.001,377.5
11326,入間郡毛呂山町,2246,0.004,94.4
27128,大阪市中央区,2236,0.002,328.3
01230,登別市,2224,0.003,835.5
40134,福岡市南区,2219,0.001,814.0
34102,広島市東区,2217,0.002,604.6
08231,桜川市,2215,0.006,164.3
34103,広島市南区,2204,0.001,607.5
11341,比企郡滑川町,2193,0.008,110.3
10211,安中市,2191,0.003,140.5
34369,山県郡北広島町,2179,0.007,605.0
27113,大阪市西淀川区,2165,0.002,334.2
46201,鹿児島市,2160,0.000,891.1
13305,西多摩郡日の出町,2159,0.011,74.2
27119,大阪市阿倍野区,2112,0.002,329.5
11442,南埼玉郡宮代町,2080,0.005,117.6
28102,神戸市灘区,2077,0.001,354.0
08216,笠間市,2067,0.002,175.2
11216,羽生市,2063,0.003,126.4
19202,富士吉田市,2050,0.004,46.8
12230,八街市,2036,0.003,125.3
23221,新城市,2034,0.004,140.9
26206,亀岡市,2020,0.002,322.1
27146,堺市北区,1983,0.001,330.4
23230,日進市,1970,0.002,184.1
27219,和泉市,1954,0.001,337.0
29205,橿原市,1942,0.001,307.3
05202,能代市,1938,0.004,575.5
21209,羽島市,1937,0.002,217.4
12218,勝浦市,1921,0.010,108.1
47208,浦添市,1920,0.001,1464.4
20209,伊那市,1907,0.002,114.5
47201,那覇市,1898,0.001,1468.8
15225,魚沼市,1894,0.003,230.7
23222,東海市,1893,0.001,197.9
07461,西白河郡西郷村,1892,0.008,246.8
10209,藤岡市,1887,0.002,122.4
08211,常総市,1886,0.002,133.9
01104,札幌市白石区,1882,0.000,907.3
24203,伊勢市,1871,0.001,224.9
27145,堺市南区,1861,0.001,333.5
29209,生駒市,1857,0.001,310.1
26209,長岡京市,1842,0.002,309.9
28217,川西市,1837,0.001,336.1
09213,那須塩原市,1833,0.001,222.8
27202,岸和田市,1830,0.001,342.8
23215,犬山市,1821,0.002,192.4
26102,京都市上京区,1816,0.002,302.8
28209,豊岡市,1815,0.001,393.0
12213,東金市,1813,0.002,127.4
27125,大阪市住之江区,1813,0.001,332.9
22424,榛原郡吉田町,1797,0.006,83.0
20203,上田市,1797,0.001,161.8
23224,知多市,1782,0.002,201.7
11327,入間郡越生町,1777,0.008,96.5
12236,香取市,1775,0.002,157.5
40136,福岡市城南区,1769,0.001,817.9
27116,大阪市生野区,1763,0.001,326.4
27209,守口市,1759,0.001,322.8
01107,札幌市西区,1752,0.001,904.5
12329,印旛郡栄町,1739,0.006,134.4
21219,郡上市,1734,0.004,208.1
04216,富谷市,1731,0.003,399.1
19204,都留市,1729,0.006,49.0
12238,いすみ市,1725,0.003,115.8
04212,登米市,1721,0.002,441.4
23501,額田郡幸田町,1719,0.003,176.4
09364,下都賀郡野木町,1716,0.005,139.2
20208,小諸市,1713,0.002,150.0
23235,弥富市,1709,0.003,210.2
23238,長久手市,1707,0.003,183.5
26207,城陽市,1705,0.001,300.2
24215,志摩市,1693,0.003,223.9
23228,岩倉市,1690,0.002,201.5
33207,井原市,1689,0.002,515.3
04103,仙台市若林区,1670,0.001,384.4
25204,近江八幡市,1666,0.002,273.7
09206,日光市,1656,0.002,198.6
15217,妙高市,1654,0.003,217.9
01204,旭川市,1652,0.000,1001.3
27115,大阪市東成区,1650,0.002,325.5
23442,知多郡東浦町,1645,0.003,194.4
02202,弘前市,1638,0.001,623.5
27126,大阪市平野区,1637,0.000,326.0
44201,大分市,1634,0.000,718.9
27144,堺市西区,1624,0.001,336.6
12229,袖ケ浦市,1605,0.002,93.0
28381,加古郡稲美町,1602,0.003,380.7
23425,海部郡蟹江町,1580,0.002,208.6
23302,愛知郡東郷町,1572,0.004,184.8
23237,あま市,1561,0.001,207.9
36202,鳴門市,1560,0.001,427.8
13308,西多摩郡奥多摩町,1553,0.016,79.5
26366,相楽郡精華町,1541,0.004,303.4
27217,松原市,1538,0.001,327.3
22137,浜松市天竜区,1536,0.005,106.6
26105,京都市東山区,1536,0.003,300.6
28215,三木市,1529,0.002,364.2
11465,北葛飾郡松伏町,1522,0.004,114.6
41203,鳥栖市,1518,0.001,811.7
26202,舞鶴市,1517,0.002,333.2
25208,栗東市,1509,0.002,278.4
08212,常陸太田市,1508,0.003,216.7
19211,笛吹市,1505,0.002,67.0
34105,広島市安佐南区,1501,0.001,613.5
27122,大阪市西成区,1500,0.001,331.2
08443,稲敷郡阿見町,1499,0.002,144.4
16202,高岡市,1495,0.001,265.1
01207,帯広市,1484,0.001,922.8
26107,京都市南区,1478,0.001,305.3
24214,いなべ市,1475,0.003,233.1
34213,廿日市市,1471,0.001,638.8
01203,小樽市,1465,0.001,910.4
01109,札幌市手稲区,1464,0.001,910.3
11348,比企郡鳩山町,1461,0.009,100.9
23217,江南市,1440,0.001,202.3
08232,神栖市,1440,0.001,170.7
29203,大和郡山市,1439,0.001,305.4
12322,印旛郡酒々井町,1423,0.005,128.9
40220,宗像市,1417,0.001,795.0
37205,観音寺市,1412,0.002,506.9
12410,山武郡横芝光町,1409,0.004,143.0
10206,沼田市,1408,0.002,175.5
28110,神戸市中央区,1406,0.001,357.4
